pacman,ghost,winner_id,winning_role,total_steps,error
14,4,14,Pacman,10,
14,5,14,Pacman,8,
14,6,14,Pacman,12,
14,8,14,Pacman,12,
14,10,14,Pacman,8,
14,0,14,Pacman,13,
14,11,14,Pacman,12,
14,9,14,Pacman,13,
14,13,14,Pacman,13,
14,15,14,Pacman,13,
14,16,14,Pacman,13,
14,12,14,Pacman,12,
14,7,14,Pacman,12,
14,2,14,Pacman,12,
14,3,14,Pacman,12,
8,14,8,Pacman,11,
8,4,8,Pacman,8,
8,5,8,Pacman,6,
8,6,8,Pacman,10,
8,10,8,Pacman,6,
8,0,8,Pacman,11,
8,11,8,Pacman,10,
8,9,8,Pacman,11,
8,15,8,Pacman,11,
8,12,8,Pacman,12,
8,16,8,Pacman,11,
8,13,8,Pacman,11,
8,7,8,Pacman,10,
8,2,8,Pacman,10,
8,3,8,Pacman,10,
4,14,4,Pacman,11,
4,5,4,Pacman,6,
4,6,4,Pacman,10,
4,8,4,Pacman,10,
4,10,4,Pacman,6,
4,0,4,Pacman,11,
4,11,4,Pacman,10,
4,9,4,Pacman,11,
4,13,4,Pacman,11,
4,15,4,Pacman,11,
4,16,4,Pacman,11,
4,12,4,Pacman,12,
4,7,4,Pacman,10,
4,2,4,Pacman,10,
4,3,4,Pacman,12,
5,14,5,Pacman,11,
5,4,5,Pacman,10,
5,6,5,Pacman,12,
5,8,5,Pacman,12,
5,10,5,Pacman,8,
5,0,5,Pacman,11,
5,11,5,Pacman,12,
5,13,5,Pacman,11,
5,9,5,Pacman,11,
5,15,5,Pacman,17,
5,16,5,Pacman,17,
5,7,5,Pacman,10,
5,12,5,Pacman,14,
5,2,5,Pacman,10,
5,3,5,Pacman,16,
6,14,6,Pacman,11,
6,4,6,Pacman,8,
6,5,6,Pacman,6,
6,8,6,Pacman,10,
6,10,6,Pacman,6,
6,0,6,Pacman,11,
6,11,6,Pacman,10,
6,9,6,Pacman,11,
6,15,6,Pacman,11,
6,13,6,Pacman,11,
6,16,6,Pacman,11,
6,12,6,Pacman,10,
6,7,6,Pacman,12,
6,2,6,Pacman,10,
6,3,6,Pacman,10,
13,14,13,Pacman,11,
13,4,13,Pacman,8,
13,8,13,Pacman,10,
13,5,13,Pacman,6,
13,10,13,Pacman,6,
13,6,13,Pacman,10,
13,0,13,Pacman,11,
13,11,13,Pacman,10,
13,9,13,Pacman,11,
13,15,13,Pacman,11,
13,16,13,Pacman,11,
13,12,13,Pacman,12,
13,7,13,Pacman,10,
13,2,13,Pacman,10,
10,14,10,Pacman,13,
13,3,13,Pacman,10,
10,4,10,Pacman,10,
10,5,10,Pacman,12,
10,6,10,Pacman,14,
10,8,10,Pacman,12,
10,0,10,Pacman,13,
10,11,10,Pacman,14,
10,9,10,Pacman,13,
10,15,10,Pacman,13,
10,13,10,Pacman,13,
10,12,10,Pacman,14,
10,7,10,Pacman,14,
10,16,10,Pacman,12,
10,3,10,Pacman,12,
10,2,10,Pacman,14,
0,14,0,Pacman,11,
0,4,0,Pacman,8,
0,5,0,Pacman,6,
0,6,0,Pacman,10,
0,8,0,Pacman,10,
0,10,0,Pacman,6,
0,11,0,Pacman,10,
0,9,0,Pacman,11,
0,15,0,Pacman,11,
0,12,0,Pacman,10,
0,13,0,Pacman,11,
0,16,0,Pacman,11,
0,7,0,Pacman,12,
0,2,0,Pacman,10,
0,3,0,Pacman,8,
11,14,11,Pacman,15,
11,4,11,Pacman,10,
11,5,11,Pacman,10,
11,6,11,Pacman,14,
11,8,11,Pacman,16,
11,10,11,Pacman,10,
11,0,0,Ghost,200,
11,9,11,Pacman,13,
11,15,15,Ghost,200,
11,12,11,Pacman,14,
11,16,16,Ghost,200,
11,7,11,Pacman,14,
11,2,11,Pacman,14,
11,3,11,Pacman,12,
9,14,9,Pacman,11,
9,8,9,Pacman,10,
9,4,9,Pacman,8,
9,5,9,Pacman,6,
9,6,9,Pacman,10,
9,13,9,Pacman,11,
9,10,9,Pacman,6,
9,0,9,Pacman,11,
9,11,9,Pacman,10,
9,15,9,Pacman,11,
9,12,9,Pacman,12,
9,16,9,Pacman,11,
9,7,9,Pacman,10,
9,2,9,Pacman,10,
9,3,9,Pacman,12,
15,14,15,Pacman,11,
15,8,8,Ghost,6,AGENT_TIMEOUT
15,4,15,Pacman,8,
15,5,15,Pacman,6,
15,6,15,Pacman,10,
15,13,15,Pacman,11,
15,10,15,Pacman,6,
15,0,15,Pacman,11,
15,11,15,Pacman,10,
15,9,15,Pacman,11,
15,12,12,Ghost,6,AGENT_TIMEOUT
15,16,15,Pacman,11,
15,7,15,Pacman,10,
15,2,15,Pacman,10,
15,3,15,Pacman,10,
12,14,12,Pacman,11,
12,8,12,Pacman,10,
12,4,12,Pacman,8,
12,5,12,Pacman,6,
12,6,12,Pacman,10,
11,13,13,Ghost,200,
12,10,12,Pacman,6,
12,0,12,Pacman,11,
12,13,12,Pacman,11,
12,11,12,Pacman,10,
12,9,12,Pacman,11,
12,16,12,Pacman,11,
12,15,12,Pacman,11,
12,7,12,Pacman,10,
12,2,12,Pacman,10,
12,3,12,Pacman,12,
16,14,16,Pacman,11,
16,4,16,Pacman,8,
16,5,16,Pacman,6,
16,6,16,Pacman,10,
16,8,16,Pacman,10,
16,10,16,Pacman,6,
16,0,16,Pacman,11,
16,11,16,Pacman,10,
16,9,16,Pacman,11,
16,13,16,Pacman,11,
16,15,16,Pacman,11,
16,7,16,Pacman,10,
16,12,16,Pacman,10,
16,2,16,Pacman,10,
16,3,16,Pacman,8,
7,14,7,Pacman,11,
7,4,7,Pacman,8,
7,5,7,Pacman,6,
7,6,7,Pacman,10,
7,8,7,Pacman,10,
7,10,7,Pacman,6,
7,0,7,Pacman,11,
7,11,7,Pacman,10,
7,9,7,Pacman,11,
7,13,7,Pacman,11,
7,15,7,Pacman,11,
7,16,7,Pacman,11,
7,12,7,Pacman,12,
7,2,7,Pacman,10,
7,3,7,Pacman,12,
2,14,2,Pacman,22,
2,4,2,Pacman,25,
2,5,2,Pacman,9,
2,6,2,Pacman,23,
2,8,2,Pacman,23,
2,10,2,Pacman,21,
2,13,2,Pacman,22,
2,0,2,Pacman,22,
2,11,2,Pacman,23,
2,9,2,Pacman,22,
2,15,2,Pacman,12,
2,16,2,Pacman,18,
2,12,2,Pacman,13,
2,7,2,Pacman,23,
2,3,2,Pacman,11,
3,14,3,Pacman,11,
3,4,3,Pacman,8,
3,5,3,Pacman,6,
3,6,3,Pacman,10,
3,8,3,Pacman,10,
3,13,13,Ghost,1,AGENT_TIMEOUT
3,10,3,Pacman,6,
3,0,0,Ghost,1,AGENT_TIMEOUT
3,11,3,Pacman,10,
3,9,3,Pacman,11,
3,15,3,Pacman,11,
3,16,3,Pacman,11,
3,12,3,Pacman,12,
3,7,3,Pacman,10,
3,2,3,Pacman,10,
